HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,131,8,HOLD OUT FOR,Common mistakes p27
2,131,14,Speaking exercise,Ex 131.1 (p22)
3,131,21,UNLIMITED,Ex 131.2 (p25)
4,132,35,PATIENCE,Ex 131.3 (p26)
5,132,41,DINE OUT,Vowel length p56
6,132,47,BOOKED UP,Ex 132.1 (p52)
7,132,52,Inversion,Ex 132.2 (p54)
8,133,67,NATIONALISE,Ex 132.3 (p54)
9,133,73,PEOPLE SKILLS,Survival: Slang at work p87
10,133,80,SICK LEAVE,Ex 133.1 (p84
11,134,93,PRIMITIVE,Ex 133.2 (p85)
12,134,99,GENETIC,Ex 133.3 (p86)
13,134,106,BOUNCE BACK,Different sounds for letter A p118
14,134,112,Future cont.,Ex 134.1 (p116)
15,135,127,TIME CONSUMING,Ex 134.2 (p117)
16,135,133,MAKE UP FOR LOST TIME,Ex 134.3 (p117)
17,135,140,SUBSEQUENT,Consonant clusters p157
18,135,146,"ALREADY, STILL, YET",Ex 135.1 (p155)
19,135,153,More uses of YET,Ex 135.2 (p155)
20,135,155,HAVE YET TO,
21,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
22,136,168,OVERCHARGED,Ex 136.1 (p196)
23,136,175,UNDERRATED,Ex 136.2 (p169)
24,136,183,OVERDUE,Stress timed rhythm p199
25,136,190,BE OVER SB,
26,137,205,CREATURES,Ex 137.1 (234)
27,137,211,HURT,Ex 137.2 (p234)
28,137,216,NON-IDENTICAL,Pron: CAN vs CAN'T
29,137,224,CONGRATULATIONS,
30,137,230,OLD,Survival: persuasion p267
31,138,254,HAVE A LONGING FOR,Ex 138.1 (p264)
32,138,251,NEGLECT + TO inf,Ex 138.2 (p265)
33,138,257,REMEMBER + TO inf,
34,138,263,Adj + TO inf,Spelling p294
35,139,278,TRY STH OUT,Ex 139.1 (p291)
36,139,286,MUSICAL,Ex 139.2 (p291)
37,139,291,SOME,Ex 139.3 p292
38,140,303,UNFORESEEN,Ex 140.1 (p318)
39,140,310,HOLD RESPONSIBLE,Ex 140.2 (p319)
40,140,318,Future in past,Ex 140.3 (p320)
41,,,GRAMMAR REVIEW,
42,,,REVISION,FINISH ANY EXERCISES NOT DONE.
43,,,REVISION,
44,,,END OF STEP EXAM,
45,,,SPEAKER'S CORNER,
