HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,71,6,PIPE,Survival p25
2,71,14,CUTLERY,Ex 71.1 (p22)
3,71,21,BUDGET,Ex 71.2 (p23)
4,72,33,STOP SB FROM DOING STH,Ex 71.3 (P24)
5,72,41,Word formation nouns,Reading transcriptions p51
6,73,56,DATE,eX 72.1 (P47)
7,73,62,HOUSEMATES,Ex 72.2 (p49)
8,73,P68,Phrasal verbs revision,Ex 72.3 (p49)
9,73,74,Separable / inseparable (end of section),Predicting sounds p84
10,73,79,STRAIGHT AWAY,Ex 73.1 (p79)
11,74,91,PUT UP (the price),Ex 73.2 (p80)
12,74,96,HAVE YOUR HAIR DONE,Ex 73.3 (p81)
13,74,103,CERTAINLY,Past endings regular verbs p107
14,75,115,IDENTITY,Ex 74.1 (p105)
15,75,124,AS SOON AS,Ex 74.2 (p105)
16,75,130,IF I WERE,Ex 74.3 (p106)
17,75,134,GENERATION,Ex 75.1 (p134)
18,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
19,76,146,PRESCRIPTION,Ex 75.2 (p135)
20,76,153,SHOULD HAVE,Ex 75.3 (p136)
21,77,166,SHIVER,Schwa at the end of words p137
22,77,172,STILL,Ex 76.1 p159
23,77,179,HEAR ABOUT,Ex 76.2 (p160)
24,77,185,"MUST BE, COULD BE, etc",Ex 76.3 (p160)
25,78,196,OPINIONS,Survival p162
26,78,202,LAWYER,Ex 77.1 p187
27,78,208,Reported speech past --> past perf.,Ex 77.2 p188
28,79,219,FITNESS,Ex 77.3 p188
29,79,224,1st / 2nd cond. - revision,Modals and their negatives p189
30,79,229,VET,Ex 78.1 (p210)
31,80,241,UNABLE,Ex 78.2 (p211)
32,80,246,FAITH,Ex 78.3 (p212)
33,80,253,Indirect qs,Content vs function words
34,80,260,WHETHER,Ex 79.1 (p232)
35,80,265,WHETHER OR NOT (conditionals),Ex 79.2 (p233)
36,,,GRAMMAR REVIEW,Ex 79.3 (p233)
37,,,REVISION,FINISH ANY EXERCISES NOT DONE.
38,,,REVISION,
39,,,END OF STEP EXAM,
40,,,SPEAKER'S CORNER,
