HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,61,8,PALE,Linking sounds p20
2,61,15,PATIENCE,Ex 61.1 p16
3,62,30,MILKY WAY,Ex 61.2 (p16)
4,62,37,THE ENVIRONMENT,Ex 61.3 (p17)
5,63,47,SILENTLY,Ex 61.4 (p18)
6,63,54,TELL A JOKE,Weak forms p44
7,63,59,How do you say...?,Ex 62.1 (p41)
8,63,66,Reported speech in Present simple,Ex 62.2 (p42)
9,63,72,IN LOVE,Ex 62.3 (p43)
10,64,82,Rel. clauses w/ THAT,Story with gaps p75
11,64,90,WORKER,Ex 63.1 (p73)
12,65,104,RENEW,Ex 63.2 (p73)
13,65,112,HARMFUL,Ex 63.3 (p74)
14,65,117,URGENTLY,Reading out loud p101
15,65,124,NEAR / NEARLY,Ex 64.1 (p97)
16,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
17,66,137,STRICT,Ex 64.3 (p99)
18,66,143,Comparatives w/ EVEN,Word stress p127
19,66,148,AS + adj + AS,Ex 65.1 (p125)
20,66,158,Present perfect question tags,Ex 65.2 (p125)
21,67,170,COME TRUE,Ex 65.3 (p126)
22,67,177,APOLOGISE,
23,67,184,STOP + ING / INF,Ex 66.2 (p158)
24,68,294,BRING UP,Ex 66.1 (p159)
25,68,201,CHOICE,Ex 66.3 (p160)
26,68,208,YOU for people in general,Survival p161
27,68,214,Question tags,Ex 67.1 (p189)
28,69,228,RETIRE,Ex 67.2 (p189)
29,69,233,FINE,Ex 67.3 (p190)
30,69,238,MOVE,Difficult sounds P190
31,69,245,ROB,Ex 68.1 (p215)
32,70,260,PERSONAL DETAILS,Ex 68.2 (p216)
33,70,266,PUNCTUALLY,Ex 68.3 (p217)
34,70,271,BY THE TIME,Ex 68.4 (p218)
35,,,GRAMMAR REVIEW,
36,,,REVISION,FINISH ANY EXERCISES NOT DONE.
37,,,REVISION,
38,,,END OF STEP EXAM,
39,,,SPEAKER'S CORNER,
