HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,101,8,REMOTE,Survival p26
2,101,16,CITY BREAK,Ex 101.1 (p24)
3,101,23,WHOSE,Ex 101.2 (p24)
4,102,36,MINUS,Ex 101.3 (p25)
5,102,44,PUT THE PHONE DOWN,How to pronounce <o> and <or> p54
6,102,51,PICK SB UP,Ex 102.1 (p52)
7,103,66,HUNTING,Ex 102.2 (p52)
8,103,74,PSYCHOLOGIST,Ex 102.3 (p54)
9,103,79,EVEN THOUGH,Ex 103.1 (p84)
10,104,94,CIRCUMSTANCES,Ex 103.2 (p84)
11,104,102,DISASTER,Ex 103.3 (P86)
12,104,109,DISOBEDIENCE,Ex 104.1 (p118)
13,105,128,HOPE,Ex 104.2 (p118)
14,105,134,VIVID,Ex 104.3 (p119)
15,105,140,WISH + past perfect,Reading out loud p120
16,105,148,CRITICAL,Ex 105.1 (p149)
17,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
18,106,160,PROTEST,Ex 105.2 (p150)
19,106,167,FORCE SB TO DO STH,Ex 105.3 (p151)
20,106,173,Passives in conditionals,Weak forms p152
21,106,180,TAKE STH FOR GRANTED,Ex 106.1 (p181)
22,107,196,SUPPLIER,Ex 106.2 (p182)
23,107,201,SATISFACTION,Ex 106.3 (p183)
24,107,208,APPEAL,Ex 107.1 (p212)
25,108,218,MAKE A PROFIT,Ex 107.2 (p213)
26,108,225,BE IN DEBT,Ex 107.3 (p213)
27,108,232,WELL PAID,Linking sounds p215)
28,109,246,SPEAK OUT,Ex 108.1 (p235)
29,109,252,HIT IT OFF,Ex 108.2 (p236)
30,109,259,THERE'S NO POINT,Ex 108.3 (p237)
31,109,264,CONCLUSION,Consonant clusters p238
32,110,275,LIKES,Ex 109.1 (p264)
33,110,282,PECULIAR,Ex 109.2 (p264)
34,110,289,TOUCHSCREEN,Ex 109.3 (p265)
35,110,294,Future perfect,Vowel sounds p266
36,,,GRAMMAR REVIEW,
37,,,REVISION,FINISH ANY EXERCISES NOT DONE.
38,,,REVISION,
39,,,END OF STEP EXAM,
40,,,SPEAKER'S CORNER,
