HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,81,22,OWN (adj),Survival: Computer vocab (p26)
2,82,40,TELL SB OFF,Ex 81.1 (p23)
3,82,51,APPEARANCE,Ex 81.2 (p24)
4,82,58,Third conditional,Gap fillers (I) (p62)
5,83,76,CRICKET,Ex 82.1 (p59)
6,83,85,Past perfect simple,Ex 82.2 (p59)
7,83,94,CHILL OUT,Homophones (p99)
8,84,111,COMPETITION,"Exs 83.1, 83.2 (pgs 95-96)"
9,84,119,Uncountable nouns for generalities,Ex 83.3 (p96)
10,85,137,NURSERY,Minimal pairs (II) (p131)
11,85,147,DRESS UP,Ex 84.1 (p129)
12,85,158,POWER,Ex 84.2 (p130)
13,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
14,86,176,WORTHWHILE,"Exs 85.1, 85.2 (p159)"
15,86,188,TILL,Ex 85.3 (p160)
16,87,206,DAYTIME,Survival English: Agreeing / Disagreeing (p195)
17,87,216,Question tags with modals,Ex 86.1 (p192)
18,88,232,BODY LANGUAGE,Ex 86.2 (p193)
19,88,241,LATE NIGHT,Intonation (p218)
20,89,260,"Comparatives with A LOT, MORE, SLIGHTLY",Ex 87.1 (p216)
21,89,271,ENOUGH and NOT ENOUGH with adjs,Ex 87.2 (p217)
22,89,281,PLAY A PART,Modal verbs (p253)
23,90,296,SECRETLY,Ex 88.1 (p250)
24,90,306,NOTICEBOARD,Ex 88.2 (p251)
25,90,316,OCCASIONALLY,Silent L (p289)
26,,,GRAMMAR REVIEW,
27,,,REVISION,FINISH ANY EXERCISES NOT DONE.
28,,,REVISION,
29,,,END OF STEP EXAM,
30,,,GO THROUGH EXAM,
31,,,SPEAKER'S CORNER,
